query,query_intent,reasoning_intent,rank,chunk_id,score,source_video,reasoning_type,pedagogical_role,retrieval_priority,matched_terms,matched_concepts,matched_causal_chains,matched_dictionary_terms,query_expansion_terms,knowledge_graph_boost_applied,why_retrieved,score_lexical_overlap,score_expanded_lexical_overlap,score_canonical_dictionary_terms,score_dictionary_category_match,score_golden_chunk_boost,score_reasoning_type_alignment,score_pedagogical_role_alignment,score_retrieval_priority_boost,score_sat_term_boost,score_cause_effect_boost,score_exam_strategy_boost,score_knowledge_graph_match,score_causal_chain_match,score_concept_match,score_source_concept_phrase_match,score_quality_flags_penalty
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,1,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0001,0.84,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,high,level|marks|tasting,,,,,False,"matched canonical/query terms: level, marks, tasting|golden tutor chunk candidate|high retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.1,0.14,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,2,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0004,0.8377,How to prepare for the WSET Level 3 Tasting Exam,common_mistake,exam_strategy,high,lose|marks|students|tasting,,,,,False,"matched canonical/query terms: lose, marks, students, tasting|golden tutor chunk candidate|high retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.1,0.091,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,3,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0009,0.7267,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,lose|marks|students|tasting,,,,,False,"matched canonical/query terms: lose, marks, students, tasting|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.12,0.0667,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,4,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0003,0.68,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,level|marks|tasting,,,,,False,"matched canonical/query terms: level, marks, tasting|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,5,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0004,0.68,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,level|marks|tasting,,,,,False,"matched canonical/query terms: level, marks, tasting|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,6,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0010,0.68,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,level|marks|students,,,,,False,"matched canonical/query terms: level, marks, students|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,7,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0012,0.68,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,level|marks|students,,,,,False,"matched canonical/query terms: level, marks, students|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,8,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0013,0.68,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,level|marks|tasting,,,,,False,"matched canonical/query terms: level, marks, tasting|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,9,WSET_Level_3_SAT_Tasting_Practice_Taste_along_with_Jimmy-0005,0.68,WSET Level 3 (SAT)Tasting Practice 🍷 Taste along with Jimmy!,exam_strategy,exam_strategy,medium,level|marks|tasting,,,,,False,"matched canonical/query terms: level, marks, tasting|medium retrieval priority in golden QA report|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
Why do students lose marks in WSET Level 3 tasting?,tasting_exam_strategy,exam_strategy,10,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0000,0.64,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,tasting_practice,low,level|tasting|wset,,,,,False,"matched canonical/query terms: level, tasting, wset|aligns with exam_strategy reasoning intent|pedagogical role fits tasting_exam_strategy|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.05,0.08,0.0,0.0,0.14,0.1,0.02,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
