query,query_intent,reasoning_intent,rank,chunk_id,score,source_video,reasoning_type,pedagogical_role,retrieval_priority,matched_terms,matched_concepts,matched_causal_chains,matched_dictionary_terms,query_expansion_terms,knowledge_graph_boost_applied,why_retrieved,score_lexical_overlap,score_expanded_lexical_overlap,score_canonical_dictionary_terms,score_dictionary_category_match,score_golden_chunk_boost,score_reasoning_type_alignment,score_pedagogical_role_alignment,score_retrieval_priority_boost,score_sat_term_boost,score_cause_effect_boost,score_exam_strategy_boost,score_knowledge_graph_match,score_causal_chain_match,score_concept_match,score_source_concept_phrase_match,score_quality_flags_penalty
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,1,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0004,0.6272,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,complexity|intensity|length|mean|tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: complexity, intensity, length, mean, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.0462,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,2,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0004,0.6204,How to prepare for the WSET Level 3 Tasting Exam,common_mistake,exam_strategy,high,alcohol|tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: alcohol, tasting|golden tutor chunk candidate|high retrieval priority in golden QA report|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.045,0.0154,0.08,0.0,0.1,0.0,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,3,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0001,0.6138,How to assess the quality of a wine for WSET Level 3,tasting_calibration,tasting_practice,medium,balance|complexity|intensity|length|readiness|tasting,,,balance,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: balance, complexity, intensity, length, readiness, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary",0.09,0.0538,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,4,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0001,0.6127,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,high,tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,matched canonical/query terms: tasting|golden tutor chunk candidate|high retrieval priority in golden QA report|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language,0.045,0.0077,0.08,0.0,0.1,0.0,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,5,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0003,0.6118,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,balance|length|tasting,,,balance,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: balance, length, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.09,0.0308,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,6,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0006,0.6062,How to assess the quality of a wine for WSET Level 3,tasting_calibration,tasting_practice,medium,balance|complexity|intensity|length|readiness|tasting,,,balance,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: balance, complexity, intensity, length, readiness, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary",0.09,0.0462,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,7,WSET_Level_3_SAT_Tasting_Practice_Taste_along_with_Jimmy-0005,0.5591,WSET Level 3 (SAT)Tasting Practice 🍷 Taste along with Jimmy!,exam_strategy,exam_strategy,medium,alcohol|intensity|tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: alcohol, intensity, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.045,0.0231,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,8,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0005,0.5535,How to assess the quality of a wine for WSET Level 3,tasting_calibration,tasting_practice,medium,balance|complexity|intensity|length,,,balance,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: balance, complexity, intensity, length|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary",0.045,0.0385,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,9,Introduction_to_the_WSET_Level_3_SAT-0002,0.5535,Introduction to the WSET Level 3 SAT,tasting_calibration,tasting_practice,medium,intensity|quality assessment|readiness|tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: intensity, quality assessment, readiness, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary",0.045,0.0385,0.08,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
What does balance mean in WSET tasting?,tasting_calibration,tasting_calibration,10,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0008,0.5514,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,intensity|tasting,,,,acid|alcohol|balance|complexity|intensity|length|quality assessment|readiness|tannin,False,"matched canonical/query terms: intensity, tasting|medium retrieval priority in golden QA report|aligns with tasting_calibration reasoning intent|pedagogical role fits tasting_calibration|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.045,0.0154,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
