query,query_intent,reasoning_intent,rank,chunk_id,score,source_video,reasoning_type,pedagogical_role,retrieval_priority,matched_terms,matched_concepts,matched_causal_chains,matched_dictionary_terms,query_expansion_terms,knowledge_graph_boost_applied,why_retrieved,score_lexical_overlap,score_expanded_lexical_overlap,score_canonical_dictionary_terms,score_dictionary_category_match,score_golden_chunk_boost,score_reasoning_type_alignment,score_pedagogical_role_alignment,score_retrieval_priority_boost,score_sat_term_boost,score_cause_effect_boost,score_exam_strategy_boost,score_knowledge_graph_match,score_causal_chain_match,score_concept_match,score_source_concept_phrase_match,score_quality_flags_penalty
How do I justify quality in SAT?,sat_coaching,sat_logic,1,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0001,0.7187,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,high,SAT,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,matched canonical/query terms: SAT|golden tutor chunk candidate|high retrieval priority in golden QA report|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language,0.06,0.0077,0.08,0.0,0.1,0.091,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,2,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0004,0.571,How to prepare for the WSET Level 3 Tasting Exam,common_mistake,exam_strategy,high,,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,golden tutor chunk candidate|high retrieval priority in golden QA report|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language,0.0,0.0,0.0,0.0,0.1,0.091,0.1,0.12,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,3,Introduction_to_the_WSET_Level_3_SAT-0004,0.5395,Introduction to the WSET Level 3 SAT,tasting_calibration,tasting_practice,low,SAT|appearance|nose|quality|readiness|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: SAT, appearance, nose, quality, readiness, sat|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary",0.12,0.0385,0.08,0.0,0.0,0.091,0.1,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,4,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0001,0.5272,How to assess the quality of a wine for WSET Level 3,tasting_calibration,tasting_practice,medium,balance|complexity|intensity|length|quality|readiness|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: balance, complexity, intensity, length, quality, readiness, sat|medium retrieval priority in golden QA report|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary",0.06,0.0462,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,5,Introduction_to_the_WSET_Level_3_SAT-0002,0.5272,Introduction to the WSET Level 3 SAT,tasting_calibration,tasting_practice,medium,appearance|intensity|nose|quality|quality assessment|readiness|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: appearance, intensity, nose, quality, quality assessment, readiness, sat|medium retrieval priority in golden QA report|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary",0.06,0.0462,0.08,0.0,0.0,0.091,0.1,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,6,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0002,0.5077,How to assess the quality of a wine for WSET Level 3,sat_logic,tasting_practice,low,balance|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: balance, sat|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.0,0.0077,0.08,0.0,0.0,0.14,0.1,0.02,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,7,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0004,0.4908,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,complexity|intensity|length|quality|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: complexity, intensity, length, quality, sat|medium retrieval priority in golden QA report|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.06,0.0308,0.08,0.0,0.0,0.0,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,8,How_to_assess_the_quality_of_a_wine_for_WSET_Level_3-0003,0.4831,How to assess the quality of a wine for WSET Level 3,exam_strategy,exam_strategy,medium,balance|length|quality|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: balance, length, quality, sat|medium retrieval priority in golden QA report|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.06,0.0231,0.08,0.0,0.0,0.0,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,9,How_to_prepare_for_the_WSET_Level_3_Tasting_Exam-0012,0.4831,How to prepare for the WSET Level 3 Tasting Exam,exam_strategy,exam_strategy,medium,nose|quality|readiness|sat,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,"matched canonical/query terms: nose, quality, readiness, sat|medium retrieval priority in golden QA report|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language",0.06,0.0231,0.08,0.0,0.0,0.0,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
How do I justify quality in SAT?,sat_coaching,sat_logic,10,WSET_Level_3_SAT_Tasting_Practice_Taste_along_with_Jimmy-0007,0.46,WSET Level 3 (SAT)Tasting Practice 🍷 Taste along with Jimmy!,sat_logic,exam_strategy,medium,,,,,appearance|balance|bicL|complexity|intensity|length|nose|palate|quality assessment|readiness,False,medium retrieval priority in golden QA report|aligns with sat_logic reasoning intent|pedagogical role fits sat_coaching|matched SAT/tasting vocabulary|contains exam or marks strategy language,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.06,0.09,0.0,0.07,0.0,0.0,0.0,0.0,-0.0
