canonical_term,category,quality_flags,details,source_count,official_sources,source_documents,aliases,confidence
Barbera d’Asti,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Barbera d’Asti,high
Bordeaux Supérieur,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Bordeaux Superieur,high
Châteauneuf-du-Pape,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Chateauneuf-du-Pape,high
Crémant de Bourgogne,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cremant de Bourgogne,high
Crémant de Loire,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cremant de Loire,high
Crémant d’Alsace,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cremant d’Alsace,high
Côte Rôtie,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cote Rotie,high
Côtes de Bordeaux,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes de Bordeaux,high
Côtes de Gascogne,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes de Gascogne,high
Côtes du Rhône,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes du Rhone,high
Côtes du Rhône Villages,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes du Rhone Villages,high
Côtes du Roussillon,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes du Roussillon,high
Côtes du Roussillon Villages,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Cotes du Roussillon Villages,high
