query,query_intent,reasoning_intent,rank,chunk_id,score,source_video,reasoning_type,pedagogical_role,retrieval_priority,matched_terms,matched_concepts,matched_causal_chains,matched_dictionary_terms,query_expansion_terms,knowledge_graph_boost_applied,why_retrieved,score_lexical_overlap,score_expanded_lexical_overlap,score_canonical_dictionary_terms,score_dictionary_category_match,score_golden_chunk_boost,score_reasoning_type_alignment,score_pedagogical_role_alignment,score_retrieval_priority_boost,score_sat_term_boost,score_cause_effect_boost,score_exam_strategy_boost,score_knowledge_graph_match,score_causal_chain_match,score_concept_match,score_source_concept_phrase_match,score_quality_flags_penalty
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,1,-P74Qh-YnNA-0002,0.7998,Loire Valley Wine Basics: Muscadet & Melon Blanc Explained - WSET & Wine Lover Guide,cause_effect,theory_explanation,none,climate|cool|cool climate,Acidity|Cool Climate|cool climate,Cool climate → high acidity in finished wine|Cool climate → limited sugar accumulation → lower potential alcohol|Cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|cool climate,climate|cool climate,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: climate, cool, cool climate|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary|contains the source concept phrase from the query|quality flags reduced the score and require review",0.09,0.0132,0.08,0.0,0.0,0.091,0.1,0.0,0.09,0.1,0.0,0.075,0.0356,0.045,0.12,-0.04
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,2,WSET_Level_3_Wines_-_Understanding_the_Common_Elements_of_Winemaking_Part-0002,0.7336,WSET Level 3 Wines - Understanding the Common Elements of Winemaking Part,cause_effect,theory_explanation,low,acid|malic acid|tartaric acid,Acidity|Cool Climate|malic acid|tartaric acid,Cool climate → high acidity in finished wine|malic acid|tartaric acid,,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acid, malic acid, tartaric acid|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.0,0.017,0.08,0.0,0.0,0.14,0.1,0.02,0.09,0.1,0.0,0.1,0.0267,0.06,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,3,How_to_Judge_Acidity_with_the_WSET_Level_3_Standard_Approach_to_Tasting-0005,0.6961,How to Judge Acidity with the WSET Level 3 Standard Approach to Tasting,sat_logic,foundational,low,acidity|freshness|high acidity,Acidity|acidity|high acidity,Cool climate → high acidity in finished wine|acidity|high acidity,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acidity, freshness, high acidity|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.045,0.0151,0.08,0.0,0.0,0.091,0.1,0.02,0.09,0.1,0.0,0.0833,0.0267,0.045,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,4,How_to_Judge_Acidity_with_the_WSET_Level_3_Standard_Approach_to_Tasting-0002,0.6824,How to Judge Acidity with the WSET Level 3 Standard Approach to Tasting,cause_effect,tasting_practice,low,acid|acidity|balance|malic acid,Acidity|Cool Climate|acidity|balance|malic acid,Cool climate → high acidity in finished wine|acidity|malic acid,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acid, acidity, balance, malic acid|aligns with cause_effect reasoning intent|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.045,0.0208,0.08,0.0,0.0,0.14,0.0,0.02,0.09,0.1,0.0,0.1,0.0267,0.06,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,5,How_to_Judge_Acidity_with_the_WSET_Level_3_Standard_Approach_to_Tasting-0004,0.6786,How to Judge Acidity with the WSET Level 3 Standard Approach to Tasting,cause_effect,tasting_practice,low,acid|acidity|balance|high acidity,Acidity|acidity|balance|high acidity,Cool climate → high acidity in finished wine|acidity|high acidity,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acid, acidity, balance, high acidity|aligns with cause_effect reasoning intent|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.045,0.017,0.08,0.0,0.0,0.14,0.0,0.02,0.09,0.1,0.0,0.1,0.0267,0.06,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,6,Explaining_Wine_Terminology_-_Semi-Carbonic_Maceration_for_WSET_Level_3-0008,0.6524,Explaining Wine Terminology - Semi-Carbonic Maceration for WSET Level 3 &,cause_effect,theory_explanation,low,acid|malic acid,Acidity|Cool Climate|malic acid,Cool climate → high acidity in finished wine|malic acid,,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acid, malic acid|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.0,0.0113,0.0533,0.0,0.0,0.14,0.1,0.02,0.09,0.1,0.0,0.075,0.0178,0.045,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,7,WSET_Level_3_Wines_-_Understanding_Aromatics_With_Working_Written_Questio-0007,0.6416,WSET Level 3 Wines - Understanding Aromatics With Working Written Questio,cause_effect,theory_explanation,low,acid|cool|malic acid,Acidity|Cool Climate|malic acid,Cool climate → high acidity in finished wine|malic acid,,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acid, cool, malic acid|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.045,0.0189,0.08,0.0,0.0,0.14,0.1,0.02,0.0,0.1,0.0,0.075,0.0178,0.045,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,8,WSET_Level_3_SAT_Tasting_Practice_Taste_along_with_Jimmy-0005,0.6361,WSET Level 3 (SAT)Tasting Practice 🍷 Taste along with Jimmy!,exam_strategy,exam_strategy,medium,acidity|high acidity|intensity,Acidity|acidity|high acidity,Cool climate → high acidity in finished wine|acidity|high acidity,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,"matched canonical/query terms: acidity, high acidity, intensity|medium retrieval priority in golden QA report|aligns with cause_effect reasoning intent|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary",0.045,0.0151,0.08,0.0,0.0,0.091,0.0,0.06,0.09,0.1,0.0,0.0833,0.0267,0.045,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,9,How_to_pass_your_WSET_Level_3_Theory_Exam-0004,0.6308,How to pass your WSET Level 3 Theory Exam!,cause_effect,theory_explanation,low,acidity,Acidity|acidity,Cool climate → high acidity in finished wine|acidity,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,matched canonical/query terms: acidity|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary,0.045,0.0113,0.0267,0.0,0.0,0.14,0.1,0.02,0.09,0.1,0.0,0.05,0.0178,0.03,0.0,-0.0
How does cool climate affect acidity?,cause_effect_explanation,cause_effect,10,Why_is_vineyard_site_selection_so_important_for_WSET_Level_3-0005,0.6232,Why is vineyard site selection so important for WSET Level 3,cause_effect,theory_explanation,low,acidity,Acidity|acidity,Cool climate → high acidity in finished wine|acidity,acidity,"acid|acid retention|acidity|acidity 01|acidity ageability|balance|climate|cool climate|cool climate 01|cool climate 02|cool climate acidity|cool climate alcohol|cool climate aroma|cool climate under ripe|cool climate wines always have green, unripe flavours.|cool climate wines are always low in alcohol.|cool climate → high acidity in finished wine|cool climate → limited sugar accumulation → lower potential alcohol|cool climate → slower ripening → primary aroma profile (citrus/green fruit/floral)|crispness|freshness|growing season|high acidity|high acidity in a wine means the wine is low quality or unpleasant.|higher acidity|intensity|length|low temperature|low temperatures|lower ph|malic acid|malolactic conversion|malolactic conversion acidity|mlf acidity|slow ripening|slower ripening|tartaric acid",True,matched canonical/query terms: acidity|aligns with cause_effect reasoning intent|pedagogical role fits cause_effect_explanation|matched SAT/tasting vocabulary|supports cause/effect explanation|matches knowledge-map concept or relationship terms|matches knowledge-map causal-chain mechanism|matches knowledge-map concept vocabulary,0.045,0.0038,0.0267,0.0,0.0,0.14,0.1,0.02,0.09,0.1,0.0,0.05,0.0178,0.03,0.0,-0.0
