video_id,video_title,video_url,playlist_names,priority,target_reason,expected_pedagogical_role,academic_level_guess,transcript_status,already_has_transcript,recommended_for_targeted_fetch,first_pass_l3_fetch_priority,exclusion_reason
PH35pzJAevk,California AVAs - WSET Level 3 Short Written Questions,https://www.youtube.com/watch?v=PH35pzJAevk,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
iB_5dZGxoHo,How to prepare for the WSET Level 3 Tasting Exam,https://www.youtube.com/watch?v=iB_5dZGxoHo,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,tasting exam preparation,tasting_exam_guidance,WSET_L3,failed,false,true,true,
TbRgnR5HzaE,Level 3 Exam Tips – Bordeaux Edition,https://www.youtube.com/watch?v=TbRgnR5HzaE,WSET Level 3 Mock Exam Questions,S,exam strategy,exam_strategy,WSET_L3,failed,false,true,true,
_5rbDyX2F7U,Mock Exam Question - Loire for WSET Level 3,https://www.youtube.com/watch?v=_5rbDyX2F7U,WSET Level 3 Mock Exam Questions,S,mock exam practice,exam_strategy,WSET_L3,failed,false,true,true,
jy2TJYlMdPs,Total Wines & More Taste Along with Jimmy: WSET Level 3 for USA | Expert Wine Exam Preparation,https://www.youtube.com/watch?v=jy2TJYlMdPs,Understanding WSET Level 3 Wine Theory,S,exam preparation,exam_strategy,WSET_L3,failed,false,true,true,
SDQwAqlbl_I,Understanding Alsace for WSET Level 3 Wines With Working Written Question,https://www.youtube.com/watch?v=SDQwAqlbl_I,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
kT8ZtLO8uuo,Understanding Argentina Part 1 for WSET L3 - Introduction Including Working Written Question,https://www.youtube.com/watch?v=kT8ZtLO8uuo,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
SQw0w3Ra5u8,Understanding Argentina Part 2 for WSET L3 - Mendoza/Malbec Including Working Written Question,https://www.youtube.com/watch?v=SQw0w3Ra5u8,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
qpV14kAqGL0,Understanding Austria for WSET Level 3 with working written question,https://www.youtube.com/watch?v=qpV14kAqGL0,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
R2E-83b131s,Understanding Barolo and Barbaresco for WSET Level 3 with working written question,https://www.youtube.com/watch?v=R2E-83b131s,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
6SHLsRJrS88,Understanding Beaujolais for WSET Level 3 with working written question,https://www.youtube.com/watch?v=6SHLsRJrS88,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
HkEX1uroEeE,"Understanding Bordeaux, Pomerol and Merlot for WSET L3 including working written question",https://www.youtube.com/watch?v=HkEX1uroEeE,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
QJirJuxMlGY,Understanding Brunello di Montalcino DOCG for WSET L3 with a working written question,https://www.youtube.com/watch?v=QJirJuxMlGY,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
6nhPdMcOMNs,Understanding Canada for WSET L3 including working written question,https://www.youtube.com/watch?v=6nhPdMcOMNs,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
SVsPHjoPd48,Understanding Mosel and Riesling for WSET L3 including working written question,https://www.youtube.com/watch?v=SVsPHjoPd48,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
V0enriqnKY4,Understanding Priorat for WSET L3 with working written question,https://www.youtube.com/watch?v=V0enriqnKY4,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
94t-29lBgk4,Understanding Rioja for WSET Level 3 with working written question,https://www.youtube.com/watch?v=94t-29lBgk4,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
SMxMikpmVgM,Understanding Saint-Emilion and its Classification System for WSET L3 with working written question,https://www.youtube.com/watch?v=SMxMikpmVgM,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
FC1NfxWod-Y,Understanding the Loire Central Vineyards for WSET Level 3 with working written question,https://www.youtube.com/watch?v=FC1NfxWod-Y,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
Pe7w3Qk-Bsc,Understanding the Northern Rhone for WSET Level 3 plus working written question,https://www.youtube.com/watch?v=Pe7w3Qk-Bsc,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
q0vVjGGCk04,Understanding the Other German Regions and Grape Varieties for WSET L3 with working written question,https://www.youtube.com/watch?v=q0vVjGGCk04,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
kO-V5P12MTc,Understanding Valpolicella for WSET Level 3 with working written question,https://www.youtube.com/watch?v=kO-V5P12MTc,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
hX_JNW0-pks,Viticulture Exam Prep | WSET Level 3 Sample Questions 🍇,https://www.youtube.com/watch?v=hX_JNW0-pks,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,exam preparation,exam_strategy,WSET_L3,failed,false,true,true,
wm5wvTKvAr0,WSET L3 Understanding Growing Environment Problems Short Written Question Part 1,https://www.youtube.com/watch?v=wm5wvTKvAr0,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
Hf6oLIYwHJs,WSET Level 3 Cabernet Sauvignon Example Questions! - Noble Nine,https://www.youtube.com/watch?v=Hf6oLIYwHJs,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Grape Varieties for WSET Level 3,S,answer structure practice,exam_strategy,WSET_L3,failed,false,true,true,
6isnvLrjTv4,WSET Level 3 Central & Southern Italy: Short Written Question Practice,https://www.youtube.com/watch?v=6isnvLrjTv4,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
GsGf3Fwoivs,WSET Level 3 Germany Short Written Practice | Wine with Jimmy,https://www.youtube.com/watch?v=GsGf3Fwoivs,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
SVjNGdbVCOQ,WSET Level 3 Mock Theory Exam Questions Part 1 (of 4) with Jimmy Smith,https://www.youtube.com/watch?v=SVjNGdbVCOQ,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,exam technique and theory exam preparation,exam_strategy,WSET_L3,failed,false,true,true,
xR5-4G_oHvo,WSET Level 3 New Zealand | Short Written Question Practice,https://www.youtube.com/watch?v=xR5-4G_oHvo,WSET Level 3 Mock Exam Questions,S,written answer technique,exam_strategy,WSET_L3,failed,false,true,true,
LMDUkH0TVYQ,"WSET Level 3 Rhône Valley Exam Practice | Condrieu, Côte-Rôtie & Southern Rhône Explained",https://www.youtube.com/watch?v=LMDUkH0TVYQ,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,exam practice,exam_strategy,WSET_L3,failed,false,true,true,
_OzHzjFUOPY,WSET Level 3 Riesling Example Questions! - Noble Nine,https://www.youtube.com/watch?v=_OzHzjFUOPY,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Grape Varieties for WSET Level 3,S,answer structure practice,exam_strategy,WSET_L3,failed,false,false,true,
d3hgcF951tA,WSET Level 3 South Africa Questions | Wine Exam Practice Video,https://www.youtube.com/watch?v=d3hgcF951tA,WSET Level 3 Mock Exam Questions,S,exam practice,exam_strategy,WSET_L3,failed,false,false,true,
BgnDT9nXj7c,WSET Level 3 Theory Exam Questions - Mock Exam B Part 1,https://www.youtube.com/watch?v=BgnDT9nXj7c,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,S,mock exam practice,exam_strategy,WSET_L3,failed,false,false,true,
FtB2x5kFYfc,WSET Level 3 Wines - Understanding Aromatics With Working Written Question,https://www.youtube.com/watch?v=FtB2x5kFYfc,Understanding WSET Level 3 Wine Theory,S,written answer technique,exam_strategy,WSET_L3,failed,false,false,true,
LVvaLNIwd_8,Waitrose Top Drops: Fior d’Arancio Colli Euganei (with WSET SAT Tasting Note),https://www.youtube.com/watch?v=LVvaLNIwd_8,Understanding WSET Level 3 Wine Theory,S,SAT tasting guidance,tasting_exam_guidance,MIXED,failed,false,false,true,
zkq40BEEbR0,German Wine Regions & Climate Explained | WSET Level 3 Study Guide,https://www.youtube.com/watch?v=zkq40BEEbR0,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions; Grape Varieties for WSET Level 3,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
h--4gxsnM0Y,Master Winemaking for WSET Level 3 Exam | Clarification Techniques Explained 🍷,https://www.youtube.com/watch?v=h--4gxsnM0Y,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,A,winemaking choices,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
yuPIUfun1hM,"Rioja for WSET Wine Regions, Grapes & Ageing Styles Explained | WSET Level 3 Revision Guide",https://www.youtube.com/watch?v=yuPIUfun1hM,WSET Level 3 Mock Exam Questions; Grape Varieties for WSET Level 3,A,readiness and ageing potential,quality_assessment_reasoning,WSET_L3,failed,false,false,true,
7SoxFik9fW8,Understanding Australian Wine for WSET Level 3 🍷 Climate & Weather,https://www.youtube.com/watch?v=7SoxFik9fW8,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
6qDyHBT5tfs,Understanding Chile for WSET Level 3 Wines Part 1 - Climate and Grape Growing,https://www.youtube.com/watch?v=6qDyHBT5tfs,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
gZF9Q_yiCew,Understanding Port for WSET L3 - Part 1 The Vineyard,https://www.youtube.com/watch?v=gZF9Q_yiCew,Understanding WSET Level 3 Wine Theory,A,viticulture,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
GhbUMPJ90J8,"Understanding Sherry for WSET Level 3 - Part 1 Climate, Soils, Grape Varieties and Classification",https://www.youtube.com/watch?v=GhbUMPJ90J8,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
QfqM2WMG0dY,Understanding Sherry Part 2 for WSET L3,https://www.youtube.com/watch?v=QfqM2WMG0dY,Understanding WSET Level 3 Wine Theory,A,fortified method,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
BCLRpwHXqes,"Understanding Southern Rhone for WSET Level 3 Wines - Part 1 - Climate, Grapegrowing and Grenache",https://www.youtube.com/watch?v=BCLRpwHXqes,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
KV26vjZaHb4,Understanding Sparkling Wine for WSET L3 Part 2 - Traditional Method,https://www.youtube.com/watch?v=KV26vjZaHb4,Understanding WSET Level 3 Wine Theory,A,sparkling method,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
su68wcw5wjI,"Understanding Sparkling Wine for WSET Level 3 Part 4 - Cava, Cremant and Other Traditional Method",https://www.youtube.com/watch?v=su68wcw5wjI,Understanding WSET Level 3 Wine Theory,A,sparkling method,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
xD1KpsAmVKY,WSET Level 3 Understanding Italy Central Italy Climate and Grapegrowing,https://www.youtube.com/watch?v=xD1KpsAmVKY,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
MAwxhIgemwM,WSET Level 3 Wines - Understanding Italy Northern Italy Climate and Grapegrowing,https://www.youtube.com/watch?v=MAwxhIgemwM,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
VSH8UpH5Qqw,WSET Level 3 Wines - Understanding the Common Elements of Winemaking Part 1: The Grape,https://www.youtube.com/watch?v=VSH8UpH5Qqw,Understanding WSET Level 3 Wine Theory,A,winemaking choices,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
yGCUm8BdMcE,WSET Level 3 Wines - Understanding the Growing Environment - Climate: Part 1,https://www.youtube.com/watch?v=yGCUm8BdMcE,Understanding WSET Level 3 Wine Theory,A,climate and grape-growing reasoning,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
c_yNBJbJ88E,WSET Level 3 Wines - Understanding the Vineyard Cycle Part 1,https://www.youtube.com/watch?v=c_yNBJbJ88E,Understanding WSET Level 3 Wine Theory,A,viticulture,cause_effect_theory_explanation,WSET_L3,failed,false,false,true,
RVex0z9Vpbg,"Alsace Appellations Explained | Grand Cru, AOC, and Label Laws for WSET Level 3",https://www.youtube.com/watch?v=RVex0z9Vpbg,Grape Varieties for WSET Level 3,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
jEvXuqK7HHs,"Argentina for WSET Level 3 | Wine Regions, Grapes & Laws",https://www.youtube.com/watch?v=jEvXuqK7HHs,Understanding WSET Level 3 Wine Theory; Grape Varieties for WSET Level 3,B,important region,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
H8d0e2T8euM,Australian Wine Regions Explained | WSET Level 3 Study Guide Part 1,https://www.youtube.com/watch?v=H8d0e2T8euM,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
9lrx3u8qAjQ,"Barolo vs Barbaresco Explained | WSET Level 3 Wine Study | Nebbiolo, Piemonte",https://www.youtube.com/watch?v=9lrx3u8qAjQ,WSET Level 3 Mock Exam Questions,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
bUy0-mVAJHs,Canada Wine Regions Explained  | WSET Level 3 Study Guide,https://www.youtube.com/watch?v=bUy0-mVAJHs,WSET Level 3 Mock Exam Questions; Grape Varieties for WSET Level 3,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
UtQPAgv4Vbo,Discover Melon Blanc for WSET Level 3 - Grape Variety Shorts,https://www.youtube.com/watch?v=UtQPAgv4Vbo,Grape Varieties for WSET Level 3,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
DzyHvgLOnfw,Discover Nebbiolo for WSET Level 3 - Grape Variety Shorts,https://www.youtube.com/watch?v=DzyHvgLOnfw,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Grape Varieties for WSET Level 3,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
CYURRFEwOL8,German Wine Laws & Labels Explained | WSET Level 3 Study Guide,https://www.youtube.com/watch?v=CYURRFEwOL8,Understanding WSET Level 3 Wine Theory; WSET Level 3 Mock Exam Questions,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
AZVSLZ52w3U,Grape Varieties - Furmint Advanced Version ideal for WSET L3 and 4,https://www.youtube.com/watch?v=AZVSLZ52w3U,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
zPG-ibflobA,Grape Varieties: Garnacha/Grenache/Cannonau Advanced Version for WSET L3 and 4,https://www.youtube.com/watch?v=zPG-ibflobA,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
L8kdeWQpMI4,Grape Varieties: Primitivo/Zinfandel Advanced Version for WSET L3 andL4,https://www.youtube.com/watch?v=L8kdeWQpMI4,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
wYquQ-DjP4s,Key Grape Varieties - Pinot Gris/Pinot Grigio Advanced Version for WSET L3 and L4,https://www.youtube.com/watch?v=wYquQ-DjP4s,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
DK7wP8Y0rgo,Key Grape Varieties: Cabernet Sauvignon Advanced Version for WSET L3 and L4,https://www.youtube.com/watch?v=DK7wP8Y0rgo,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
nDmKbcjusiM,Key Grape Varieties: Merlot Advanced Version for WSET L3 and L4,https://www.youtube.com/watch?v=nDmKbcjusiM,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
9R-seeYVqa0,Key Grape Varieties: Syrah/Shiraz Advanced Version for WSET L3 and L4,https://www.youtube.com/watch?v=9R-seeYVqa0,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties,B,important grape varieties,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
eR6wQFSEGOA,"Mastering Touriga Nacional For WSET Level 3: Key Characteristics, Flavours, and Regions 🍇",https://www.youtube.com/watch?v=eR6wQFSEGOA,Grape Varieties for WSET Level 3,B,important region,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
VALTVZQ3hgo,Understanding Chablis and Chardonnay for WSET Level 3,https://www.youtube.com/watch?v=VALTVZQ3hgo,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
MPqKe8M8al8,Understanding Port for WSET L3 - Part 2 The Winery,https://www.youtube.com/watch?v=MPqKe8M8al8,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
dNdT4epcMzI,"Understanding Sparkling Wine for WSET L3 Part 1 - Introduction, Styles and Sweetness Levels",https://www.youtube.com/watch?v=dNdT4epcMzI,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
MVfXJE7gntw,Understanding Sparkling Wine for WSET L3 Part 3 - Champagne,https://www.youtube.com/watch?v=MVfXJE7gntw,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
aa6ZUR7-wOg,Understanding The Burgundy Appellation Structure for WSET Level 3,https://www.youtube.com/watch?v=aa6ZUR7-wOg,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
lKpTVo3XVxM,Understanding the Dordogne and South West France for WSET Level 3 Wines,https://www.youtube.com/watch?v=lKpTVo3XVxM,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
sYetVudha5Q,"Understanding the Left Bank, 1855 Classification and Cabernet Sauvignon for WSET L3",https://www.youtube.com/watch?v=sYetVudha5Q,WSET Level 3 & WSET Diploma (Level 4) - Grape Varieties; Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
i1knfO4f13E,"Understanding the Loire Valley Part 1 for WSET Level 3 Wines - Introduction, Melon Blanc & Muscadet",https://www.youtube.com/watch?v=i1knfO4f13E,Understanding WSET Level 3 Wine Theory,B,broad theory explanation,regional_or_varietal_theory_explanation,WSET_L3,failed,false,false,true,
